index,gt,pred,file_name
5,pill-crack,pill-good,20005
13,screw-thread_side,screw-thread_top,20013
16,grid-broken,grid-bent,20016
38,leather-poke,leather-cut,20038
61,pill-combined,pill-faulty_imprint,20061
67,capsule-poke,capsule-crack,20067
73,tile-crack,tile-good,20073
106,zipper-broken_teeth,zipper-rough,20106
118,capsule-poke,capsule-crack,20118
125,transistor-cut_lead,transistor-good,20125
135,grid-broken,grid-bent,20135
156,toothbrush-defective,toothbrush-good,20156
166,pill-contamination,pill-scratch,20166
171,carpet-thread,carpet-good,20171
172,screw-manipulated_front,screw-good,20172
189,transistor-good,transistor-cut_lead,20189
201,cable-good,cable-poke_insulation,20201
203,bottle-broken_small,bottle-good,20203
225,metal_nut-color,pill-color,20225
229,transistor-damaged_case,transistor-good,20229
233,pill-contamination,pill-good,20233
234,zipper-broken_teeth,zipper-split_teeth,20234
253,capsule-squeeze,capsule-good,20253
257,capsule-poke,capsule-crack,20257
273,transistor-bent_lead,transistor-good,20273
282,transistor-bent_lead,transistor-good,20282
290,carpet-cut,carpet-hole,20290
293,leather-poke,leather-cut,20293
304,screw-scratch_head,screw-good,20304
309,screw-scratch_neck,screw-scratch_head,20309
313,metal_nut-scratch,metal_nut-bent,20313
322,metal_nut-scratch,metal_nut-good,20322
328,pill-crack,pill-good,20328
339,cable-combined,cable-bent_wire,20339
342,metal_nut-good,metal_nut-bent,20342
355,capsule-crack,capsule-poke,20355
358,bottle-good,bottle-broken_large,20358
360,transistor-cut_lead,transistor-good,20360
361,capsule-poke,capsule-crack,20361
365,zipper-rough,zipper-broken_teeth,20365
368,cable-cable_swap,cable-good,20368
380,metal_nut-scratch,metal_nut-good,20380
392,bottle-broken_small,bottle-good,20392
394,capsule-poke,capsule-crack,20394
395,transistor-bent_lead,transistor-good,20395
396,cable-good,cable-cable_swap,20396
403,zipper-combined,zipper-fabric_border,20403
404,bottle-good,bottle-contamination,20404
406,pill-contamination,pill-good,20406
409,pill-faulty_imprint,pill-good,20409
420,metal_nut-scratch,metal_nut-bent,20420
