index,gt,pred,file_name
13,screw-thread_side,screw-thread_top,20013
16,grid-broken,grid-bent,20016
32,screw-thread_side,screw-thread_top,20032
38,leather-poke,leather-cut,20038
60,transistor-good,transistor-misplaced,20060
103,capsule-scratch,capsule-crack,20103
106,zipper-broken_teeth,zipper-rough,20106
118,capsule-poke,capsule-good,20118
125,transistor-cut_lead,transistor-good,20125
128,pill-scratch,pill-faulty_imprint,20128
135,grid-broken,grid-bent,20135
152,transistor-good,transistor-misplaced,20152
154,zipper-good,zipper-fabric_interior,20154
156,toothbrush-defective,toothbrush-good,20156
183,cable-missing_wire,cable-combined,20183
184,pill-faulty_imprint,pill-good,20184
189,transistor-misplaced,transistor-cut_lead,20189
194,pill-crack,pill-good,20194
201,cable-good,cable-poke_insulation,20201
216,capsule-squeeze,capsule-good,20216
229,transistor-damaged_case,transistor-good,20229
234,zipper-broken_teeth,zipper-split_teeth,20234
249,cable-cable_swap,cable-good,20249
253,capsule-squeeze,capsule-good,20253
256,metal_nut-scratch,metal_nut-good,20256
257,capsule-poke,capsule-good,20257
258,zipper-broken_teeth,zipper-split_teeth,20258
273,transistor-bent_lead,transistor-good,20273
275,capsule-poke,capsule-good,20275
290,carpet-cut,carpet-hole,20290
292,leather-fold,leather-cut,20292
293,leather-poke,leather-cut,20293
304,screw-scratch_head,screw-thread_side,20304
309,screw-scratch_neck,screw-good,20309
322,metal_nut-scratch,metal_nut-good,20322
323,cable-cut_inner_insulation,cable-bent_wire,20323
339,cable-combined,cable-bent_wire,20339
347,metal_nut-bent,metal_nut-good,20347
355,capsule-crack,capsule-good,20355
358,bottle-good,carpet-hole,20358
360,transistor-cut_lead,transistor-good,20360
362,leather-fold,leather-cut,20362
366,wood-color,wood-hole,20366
380,metal_nut-scratch,metal_nut-good,20380
394,capsule-poke,capsule-good,20394
396,cable-good,cable-cable_swap,20396
403,zipper-combined,zipper-rough,20403
406,pill-contamination,pill-good,20406
409,pill-faulty_imprint,pill-good,20409
411,capsule-crack,capsule-poke,20411
412,pill-crack,pill-good,20412
422,metal_nut-color,metal_nut-bent,20422
425,pill-crack,pill-good,20425
428,leather-glue,leather-poke,20428
437,pill-faulty_imprint,pill-contamination,20437
439,grid-metal_contamination,grid-broken,20439
447,zipper-broken_teeth,zipper-split_teeth,20447
466,capsule-crack,screw-thread_top,20466
469,metal_nut-color,metal_nut-good,20469
474,screw-manipulated_front,screw-good,20474
482,carpet-cut,carpet-hole,20482
488,hazelnut-crack,hazelnut-hole,20488
490,carpet-cut,carpet-hole,20490
491,cable-missing_wire,cable-poke_insulation,20491
492,cable-cut_inner_insulation,cable-bent_wire,20492
493,screw-thread_side,screw-good,20493
520,tile-good,tile-gray_stroke,20520
525,zipper-combined,zipper-rough,20525
528,capsule-poke,capsule-good,20528
538,pill-contamination,pill-good,20538
551,capsule-crack,capsule-poke,20551
558,zipper-broken_teeth,wood-combined,20558
559,screw-thread_side,screw-good,20559
578,grid-good,grid-glue,20578
583,carpet-hole,carpet-cut,20583
593,zipper-broken_teeth,zipper-split_teeth,20593
595,metal_nut-bent,metal_nut-good,20595
598,zipper-broken_teeth,zipper-split_teeth,20598
604,pill-crack,pill-scratch,20604
608,transistor-cut_lead,transistor-good,20608
611,grid-good,grid-glue,20611
615,capsule-crack,capsule-good,20615
616,pill-good,pill-color,20616
621,cable-cut_outer_insulation,cable-good,20621
642,transistor-cut_lead,transistor-good,20642
653,screw-manipulated_front,screw-good,20653
654,grid-thread,grid-metal_contamination,20654
655,wood-scratch,wood-good,20655
658,capsule-squeeze,capsule-good,20658
666,transistor-misplaced,transistor-cut_lead,20666
677,pill-crack,pill-faulty_imprint,20677
683,pill-scratch,pill-good,20683
684,cable-cut_outer_insulation,cable-good,20684
690,metal_nut-color,metal_nut-good,20690
703,screw-scratch_neck,screw-thread_side,20703
710,pill-crack,pill-combined,20710
732,pill-crack,pill-good,20732
733,pill-faulty_imprint,pill-good,20733
735,metal_nut-color,metal_nut-bent,20735
738,capsule-scratch,capsule-faulty_imprint,20738
742,pill-color,pill-combined,20742
743,pill-faulty_imprint,pill-good,20743
747,pill-crack,pill-good,20747
749,capsule-crack,screw-thread_top,20749
763,pill-scratch,pill-faulty_imprint,20763
772,wood-scratch,wood-combined,20772
786,toothbrush-defective,toothbrush-good,20786
789,cable-cut_outer_insulation,cable-good,20789
793,toothbrush-defective,toothbrush-good,20793
820,pill-scratch,pill-faulty_imprint,20820
829,transistor-cut_lead,transistor-good,20829
839,pill-crack,pill-good,20839
855,capsule-crack,capsule-poke,20855
867,cable-cut_outer_insulation,cable-good,20867
871,leather-glue,leather-poke,20871
873,pill-faulty_imprint,pill-good,20873
883,capsule-crack,capsule-poke,20883
887,pill-color,pill-combined,20887
893,cable-poke_insulation,cable-good,20893
898,cable-combined,cable-poke_insulation,20898
909,metal_nut-scratch,metal_nut-good,20909
919,transistor-misplaced,transistor-cut_lead,20919
933,metal_nut-color,metal_nut-good,20933
947,capsule-scratch,capsule-good,20947
956,capsule-poke,capsule-good,20956
957,transistor-bent_lead,transistor-good,20957
962,pill-crack,pill-good,20962
965,cable-missing_wire,cable-poke_insulation,20965
972,bottle-broken_large,bottle-broken_small,20972
975,tile-crack,tile-good,20975
984,pill-scratch,pill-crack,20984
