index,gt,pred,file_name
13,screw-thread_side,screw-thread_top,20013
16,grid-broken,grid-bent,20016
38,leather-poke,leather-good,20038
73,tile-crack,tile-good,20073
103,capsule-scratch,capsule-good,20103
106,zipper-broken_teeth,zipper-squeezed_teeth,20106
118,capsule-poke,capsule-good,20118
125,transistor-cut_lead,transistor-good,20125
135,grid-broken,grid-bent,20135
156,toothbrush-defective,toothbrush-good,20156
171,carpet-thread,carpet-good,20171
184,pill-faulty_imprint,pill-good,20184
190,pill-scratch,pill-good,20190
194,pill-crack,pill-good,20194
216,capsule-squeeze,capsule-good,20216
226,pill-faulty_imprint,pill-good,20226
233,pill-contamination,pill-good,20233
244,wood-color,wood-hole,20244
253,capsule-squeeze,capsule-good,20253
256,metal_nut-scratch,metal_nut-good,20256
257,capsule-poke,capsule-good,20257
258,zipper-broken_teeth,zipper-split_teeth,20258
273,transistor-bent_lead,transistor-good,20273
275,capsule-poke,capsule-good,20275
280,pill-combined,pill-color,20280
282,transistor-bent_lead,transistor-good,20282
290,carpet-cut,carpet-hole,20290
293,leather-poke,leather-cut,20293
302,zipper-broken_teeth,zipper-good,20302
309,screw-scratch_neck,screw-good,20309
330,screw-scratch_neck,screw-scratch_head,20330
339,cable-combined,cable-bent_wire,20339
355,capsule-crack,capsule-poke,20355
362,leather-fold,leather-cut,20362
365,zipper-rough,zipper-broken_teeth,20365
366,wood-color,wood-hole,20366
394,capsule-poke,capsule-good,20394
395,transistor-bent_lead,transistor-good,20395
406,pill-contamination,pill-good,20406
409,pill-faulty_imprint,pill-good,20409
411,capsule-crack,capsule-poke,20411
412,pill-crack,pill-good,20412
422,metal_nut-color,metal_nut-bent,20422
444,transistor-good,transistor-bent_lead,20444
446,carpet-thread,carpet-good,20446
469,metal_nut-color,metal_nut-good,20469
482,carpet-cut,carpet-hole,20482
484,screw-scratch_neck,screw-good,20484
488,hazelnut-crack,hazelnut-hole,20488
491,cable-missing_wire,cable-combined,20491
493,screw-thread_side,screw-good,20493
495,capsule-crack,capsule-good,20495
510,capsule-poke,capsule-good,20510
512,transistor-good,transistor-bent_lead,20512
520,tile-good,tile-gray_stroke,20520
528,capsule-poke,capsule-good,20528
551,capsule-crack,capsule-squeeze,20551
559,screw-thread_side,screw-good,20559
578,grid-good,grid-glue,20578
580,pill-contamination,pill-good,20580
583,carpet-hole,carpet-cut,20583
595,metal_nut-bent,metal_nut-good,20595
608,transistor-cut_lead,transistor-bent_lead,20608
611,grid-good,grid-glue,20611
615,capsule-crack,capsule-good,20615
624,bottle-broken_small,bottle-broken_large,20624
634,zipper-broken_teeth,zipper-good,20634
642,transistor-cut_lead,transistor-good,20642
653,screw-manipulated_front,screw-good,20653
654,grid-thread,zipper-fabric_interior,20654
655,wood-scratch,wood-good,20655
658,capsule-squeeze,capsule-good,20658
677,pill-crack,pill-faulty_imprint,20677
690,metal_nut-color,metal_nut-bent,20690
703,screw-scratch_neck,screw-thread_side,20703
714,carpet-thread,carpet-metal_contamination,20714
732,pill-crack,pill-scratch,20732
733,pill-faulty_imprint,pill-good,20733
735,metal_nut-color,metal_nut-bent,20735
738,capsule-scratch,capsule-good,20738
743,pill-faulty_imprint,pill-good,20743
747,pill-crack,pill-good,20747
772,wood-scratch,wood-combined,20772
786,toothbrush-defective,toothbrush-good,20786
793,toothbrush-defective,toothbrush-good,20793
811,capsule-scratch,capsule-good,20811
829,transistor-cut_lead,transistor-good,20829
839,pill-crack,pill-good,20839
855,capsule-crack,capsule-poke,20855
873,pill-faulty_imprint,pill-good,20873
883,capsule-crack,capsule-poke,20883
893,cable-poke_insulation,cable-good,20893
898,cable-combined,cable-poke_insulation,20898
905,zipper-rough,zipper-broken_teeth,20905
913,capsule-squeeze,capsule-good,20913
931,cable-cable_swap,cable-good,20931
933,metal_nut-color,metal_nut-good,20933
944,bottle-contamination,bottle-good,20944
947,capsule-scratch,capsule-good,20947
956,capsule-poke,capsule-good,20956
957,transistor-bent_lead,transistor-good,20957
965,cable-missing_wire,cable-poke_insulation,20965
975,tile-crack,tile-good,20975
984,pill-scratch,pill-crack,20984
1011,pill-faulty_imprint,pill-good,21011
1017,zipper-split_teeth,zipper-squeezed_teeth,21017
1027,pill-faulty_imprint,pill-contamination,21027
1047,grid-broken,grid-bent,21047
1049,transistor-bent_lead,transistor-good,21049
1058,zipper-fabric_border,zipper-good,21058
1062,cable-cable_swap,cable-good,21062
1075,zipper-good,zipper-split_teeth,21075
1106,zipper-squeezed_teeth,zipper-combined,21106
1109,capsule-poke,capsule-good,21109
1123,pill-scratch,pill-crack,21123
1125,zipper-fabric_border,zipper-good,21125
1133,toothbrush-defective,toothbrush-good,21133
1142,capsule-crack,capsule-squeeze,21142
1154,zipper-broken_teeth,zipper-split_teeth,21154
1176,leather-cut,leather-poke,21176
1184,toothbrush-defective,toothbrush-good,21184
1192,capsule-squeeze,capsule-good,21192
1216,capsule-squeeze,capsule-good,21216
1221,metal_nut-scratch,metal_nut-bent,21221
1222,pill-contamination,pill-good,21222
1223,capsule-poke,capsule-good,21223
1226,capsule-poke,capsule-good,21226
1233,transistor-bent_lead,transistor-good,21233
1240,pill-color,pill-good,21240
1261,pill-faulty_imprint,pill-contamination,21261
1273,pill-scratch,pill-good,21273
